theta_deg,O_x,O_y,G_x,G_y,J1_x,J1_y,J2_x,J2_y,J3_x,J3_y,J4_x,J4_y,J5_x,J5_y,F_x,F_y
235.0000,0.000000,0.000000,-38.000000,-7.800000,-8.603647,-12.287281,-29.972782,32.916259,-76.754462,2.500566,-66.060865,-35.315048,-101.976558,-27.768328,-68.429109,-84.257784
240.0000,0.000000,0.000000,-38.000000,-7.800000,-7.500000,-12.990381,-28.195943,32.525308,-76.265758,4.189237,-64.708283,-36.629804,-100.159770,-27.138645,-69.737981,-85.370979
245.0000,0.000000,0.000000,-38.000000,-7.800000,-6.339274,-13.594617,-26.617775,32.108582,-75.764695,5.684725,-63.267615,-37.900459,-98.214677,-26.693636,-70.665647,-86.338761
250.0000,0.000000,0.000000,-38.000000,-7.800000,-5.130302,-14.095389,-25.230407,31.686548,-75.270513,6.995907,-61.750001,-39.111778,-96.177937,-26.399296,-71.242608,-87.183500
255.0000,0.000000,0.000000,-38.000000,-7.800000,-3.882286,-14.488887,-24.022643,31.275356,-74.798081,8.134593,-60.165933,-40.252449,-94.079413,-26.225124,-71.500565,-87.923468
260.0000,0.000000,0.000000,-38.000000,-7.800000,-2.604723,-14.772116,-22.981755,30.887237,-74.358389,9.113826,-58.525507,-41.314080,-91.943507,-26.144132,-71.471113,-88.573061
265.0000,0.000000,0.000000,-38.000000,-7.800000,-1.307336,-14.942920,-22.094714,30.531082,-73.959194,9.946728,-56.838558,-42.290560,-89.790315,-26.132846,-71.184809,-89.143362
270.0000,0.000000,0.000000,-38.000000,-7.800000,-0.000000,-15.000000,-21.348972,30.213067,-73.605660,10.645785,-55.114709,-43.177630,-87.636587,-26.171237,-70.670563,-89.642837
275.0000,0.000000,0.000000,-38.000000,-7.800000,1.307336,-14.942920,-20.732919,29.937222,-73.300943,11.222446,-53.363390,-43.972590,-85.496502,-26.242583,-69.955287,-90.078001
280.0000,0.000000,0.000000,-38.000000,-7.800000,2.604723,-14.772116,-20.236115,29.705925,-73.046679,11.686926,-51.593824,-44.674082,-83.382262,-26.333276,-69.063727,-90.454018
285.0000,0.000000,0.000000,-38.000000,-7.800000,3.882286,-14.488887,-19.849371,29.520299,-72.843374,12.048157,-49.814994,-45.281941,-81.304552,-26.432598,-68.018419,-90.775186
290.0000,0.000000,0.000000,-38.000000,-7.800000,5.130302,-14.095389,-19.564741,29.380522,-72.690699,12.313812,-48.035609,-45.797060,-79.272867,-26.532489,-66.839708,-91.045329
